level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
3,M00107,C14 Panel Mount 10A fuse,1.00,M00230,FAB - Control Unit,False
3,M00530,Fuse T slow 10A,1.00,M00230,FAB - Control Unit,False
3,M00744,"Rocker switch DPST, panel mount",1.00,M00230,FAB - Control Unit,False
3,M00688,Motor Driver 2DM860H - FAB,4.00,M00230,FAB - Control Unit,False
3,M00851,USB-A USB-B cable 30cm Elbow type,1.00,M00230,FAB - Control Unit,False
3,M00407,Coloured Washer M3 - Blue,2.00,M00230,FAB - Control Unit,False
3,M00408,Coloured Washer M3 - Green,3.00,M00230,FAB - Control Unit,False
3,M00409,Coloured Washer M3 - Red,3.00,M00230,FAB - Control Unit,False
3,M00410,Coloured Washer M3 - Yellow,2.00,M00230,FAB - Control Unit,False
3,M00718,PWM to Analog Voltage Converter 0-10V,1.00,M00230,FAB - Control Unit,False
3,M00984,Female Banana Socket - Tab Termination,1.00,M00230,FAB - Control Unit,False
2,M00268,FAB - Mechanical Elements Box (2/3) - Motors,1.00,M00964,FAB - A - Main Box 1/2,True
3,M00698,FAB - Nema34 Motor,3.00,M00268,FAB - Mechanical Elements Box (2/3) - Motors,True
4,M00699,Nema34 Stepper Motor 6A 12.7mm Shaft,3.00,M00698,FAB - Nema34 Motor,False
